,departuretime,callsign,company,destinationairport,actype,registration,stand,route
,10:00:00,TAP1867,TAP Air Portugal,LPPD,A320,CSTNK,107,BUSEN UM744 KOMUT DCT 38N020W DCT BEKUN
,10:25:00,RYR29MC,Ryanair,LPPD,B738,EIDYB,205,BUSEN UM744 KOMUT DCT 38N020W DCT BEKUN
,12:05:00,RZO221,Azores Airlines,LPPD,A332,CSTRY,404,BUSEN UM744 KOMUT DCT 38N020W DCT BEKUN
,15:50:00,RYR44EQ,Ryanair,LPPD,B738,EIEKK,208,BUSEN UM744 KOMUT DCT 38N020W DCT BEKUN
,16:00:00,TAP1863,TAP Air Portugal,LPPD,A321,CSTJI,801,BUSEN UM744 KOMUT DCT 38N020W DCT BEKUN
,10:00:00,TAP1934,TAP Air Portugal,LPPR,AT72,CSDJC,106,INBOM DCT ABLEG
,11:00:00,TAP1936,TAP Air Portugal,LPPR,AT72,CSDJF,108,INBOM DCT ABLEG
,11:35:00,RYR1671,Ryanair,LPPR,B738,EIEKK,205,INBOM DCT ABLEG
,12:00:00,TAP1938,TAP Air Portugal,LPPR,AT72,CSDJA,108,INBOM DCT ABLEG
,12:55:00,TAP1946,TAP Air Portugal,LPPR,AT72,CSDJC,106,INBOM DCT ABLEG
,14:00:00,TAP1952,TAP Air Portugal,LPPR,AT72,CSDJF,108,INBOM DCT ABLEG
,15:00:00,TAP1960,TAP Air Portugal,LPPR,AT72,CSDJA,104,INBOM DCT ABLEG
,16:00:00,TAP1962,TAP Air Portugal,LPPR,AT72,CSDJC,108,INBOM DCT ABLEG
,17:00:00,TAP1964,TAP Air Portugal,LPPR,AT72,CSDJF,108,INBOM DCT ABLEG
,15:30:00,TAP1739,TAP Air Portugal,LPPS,A319,CSTTP,105,GANSU DCT NARTA UZ14 LIDRO
,16:55:00,WZZ938,Wizz Air,LROP,A320,HALYE,202,IXIDA DCT TOSDI UN745 ZMR UN976 DGO UT429 TOPTU UN871 LTP UY36 BALSI UP860 MEDAM UM730 ATMAD M730 TOP Y11 KEGED M730 TORPO DCT SOLGU DCT VELIP L5 TOSVI
